ticker,entry_date,entry,exit_date,exit,ret_pct
OXY,2021-06-16,28.53,2021-06-18,26.15,-8.35
FANG,2021-06-25,77.91,2021-07-07,71.18,-8.64
APO,2021-06-25,55.65,2021-07-16,51.28,-7.86
AXP,2021-06-25,159.48,2021-07-19,153.63,-3.67
BLK,2021-07-12,811.92,2021-07-19,749.2,-7.73
DRI,2021-07-06,126.38,2021-07-19,115.3,-8.77
PM,2021-06-14,79.26,2021-07-20,75.77,-4.4
TXN,2021-07-21,168.51,2021-07-22,159.55,-5.32
PTC,2021-07-23,152.69,2021-07-29,133.03,-12.88
PYPL,2021-06-18,280.95,2021-07-30,273.16,-2.77
V,2021-07-15,239.43,2021-08-04,227.98,-4.78
HLT,2021-07-29,132.71,2021-08-04,122.73,-7.52
VTR,2021-07-12,50.59,2021-08-09,48.86,-3.41
PANW,2021-07-06,65.32,2021-08-10,62.83,-3.8
CRWD,2021-06-18,244.91,2021-08-11,239.88,-2.05
GNRC,2021-06-16,369.7,2021-08-17,389.99,5.49
ADI,2021-08-04,158.56,2021-08-17,152.79,-3.64
CPRT,2021-06-21,32.93,2021-08-18,34.44,4.59
TGT,2021-06-25,206.72,2021-08-18,213.5,3.28
AVGO,2021-07-12,44.29,2021-08-18,42.76,-3.45
KLAC,2021-07-30,33.1,2021-08-18,30.28,-8.5
SBUX,2021-07-23,112.1,2021-08-18,103.34,-7.81
NVDA,2021-06-17,18.59,2021-08-18,18.97,2.05
SHOP,2021-06-16,136.63,2021-08-19,146.61,7.31
COR,2021-08-04,116.7,2021-08-26,108.98,-6.62
CVNA,2021-06-22,62.62,2021-08-31,65.61,4.78
AXON,2021-08-02,189.64,2021-09-01,181.65,-4.21
ADP,2021-08-10,194.19,2021-09-01,185.36,-4.55
DECK,2021-06-25,63.44,2021-09-02,67.77,6.82
PAYX,2021-06-25,90.84,2021-09-07,96.29,5.99
ALL,2021-08-23,121.79,2021-09-07,117.29,-3.7
TDY,2021-07-28,456.07,2021-09-07,443.59,-2.74
ALNY,2021-07-20,183.17,2021-09-08,186.31,1.71
XYZ,2021-08-02,272.38,2021-09-08,254.72,-6.48
TJX,2021-08-23,70.11,2021-09-09,64.81,-7.56
HUBB,2021-07-30,185.39,2021-09-09,180.84,-2.45
LLY,2021-08-03,244.19,2021-09-09,229.68,-5.94
TSN,2021-08-13,70.1,2021-09-10,64.38,-8.16
DVA,2021-08-04,133.78,2021-09-10,123.05,-8.02
CRWD,2021-08-26,278.77,2021-09-13,254.03,-8.87
STLD,2021-08-10,63.48,2021-09-13,59.37,-6.47
SW,2021-08-13,49.4,2021-09-13,46.52,-5.82
POOL,2021-06-21,423.05,2021-09-14,444.12,4.98
LHX,2021-09-02,212.98,2021-09-14,206.43,-3.07
DPZ,2021-07-22,502.48,2021-09-14,473.64,-5.74
TEL,2021-07-28,131.4,2021-09-14,134.45,2.32
ORCL,2021-07-07,80.46,2021-09-14,81.04,0.72
NUE,2021-08-10,109.91,2021-09-14,98.83,-10.08
KR,2021-07-19,36.92,2021-09-14,37.75,2.25
PFE,2021-08-02,34.33,2021-09-16,34.73,1.16
ZTS,2021-06-14,175.49,2021-09-16,193.03,9.99
DOV,2021-07-20,152.43,2021-09-16,154.86,1.59
YUM,2021-07-29,118.65,2021-09-17,116.15,-2.11
PLD,2021-09-01,119.3,2021-09-17,113.18,-5.13
AVY,2021-08-25,205.03,2021-09-17,197.14,-3.85
ALLE,2021-08-31,134.6,2021-09-17,129.75,-3.61
AIZ,2021-08-31,156.92,2021-09-17,148.93,-5.1
AAPL,2021-07-14,145.38,2021-09-17,142.59,-1.93
INVH,2021-07-27,34.84,2021-09-17,34.3,-1.57
PKG,2021-09-01,132.84,2021-09-17,122.5,-7.78
PSA,2021-06-18,239.68,2021-09-17,251.43,4.9
CRH,2021-08-26,46.88,2021-09-17,43.84,-6.47
CPRT,2021-09-16,38.07,2021-09-20,35.29,-7.3
IRM,2021-08-31,39.3,2021-09-20,37.01,-5.82
META,2021-06-28,352.54,2021-09-20,352.6,0.02
CBOE,2021-06-21,111.07,2021-09-20,115.0,3.54
CARR,2021-06-29,45.54,2021-09-20,50.32,10.49
CDW,2021-08-04,176.24,2021-09-20,176.19,-0.03
LH,2021-07-29,240.56,2021-09-20,239.95,-0.25
CSCO,2021-08-19,49.98,2021-09-20,48.78,-2.41
WAT,2021-06-17,346.56,2021-09-20,395.81,14.21
ALB,2021-07-12,176.67,2021-09-20,203.39,15.12
PNR,2021-07-27,67.58,2021-09-21,70.02,3.62
COO,2021-08-12,109.99,2021-09-21,106.65,-3.04
ADBE,2021-06-18,565.59,2021-09-22,626.08,10.7
EXR,2021-06-25,136.28,2021-09-23,146.11,7.22
TRMB,2021-08-05,89.42,2021-09-24,87.7,-1.92
AMT,2021-08-31,249.9,2021-09-24,241.36,-3.42
GRMN,2021-07-28,140.23,2021-09-27,146.66,4.59
PODD,2021-08-17,302.84,2021-09-27,286.28,-5.47
REGN,2021-08-17,642.14,2021-09-27,614.0,-4.38
RVTY,2021-07-26,170.17,2021-09-27,174.56,2.58
ARES,2021-06-25,53.64,2021-09-28,62.98,17.4
EBAY,2021-08-16,68.96,2021-09-28,65.46,-5.08
EXC,2021-08-20,29.75,2021-09-28,29.05,-2.35
FTNT,2021-08-02,56.92,2021-09-28,57.58,1.15
WST,2021-07-06,364.25,2021-09-28,422.13,15.89
TRI,2021-08-05,101.87,2021-09-28,101.65,-0.22
SPGI,2021-06-24,394.32,2021-09-28,409.36,3.81
DGX,2021-08-16,137.89,2021-09-28,133.06,-3.5
MRSH,2021-07-22,135.22,2021-09-28,142.57,5.44
XYL,2021-08-03,120.45,2021-09-28,121.63,0.98
ACN,2021-07-01,278.69,2021-09-28,302.04,8.38
INTU,2021-08-24,536.52,2021-09-28,527.8,-1.63
MSFT,2021-08-20,292.65,2021-09-28,272.61,-6.85
MSCI,2021-06-22,494.08,2021-09-28,566.56,14.67
BRO,2021-08-18,54.86,2021-09-28,53.96,-1.64
MSI,2021-06-22,201.67,2021-09-28,220.9,9.54
RSG,2021-07-30,111.47,2021-09-28,113.83,2.12
NDAQ,2021-06-17,55.98,2021-09-28,59.62,6.5
SNPS,2021-08-19,315.99,2021-09-28,301.93,-4.45
KEYS,2021-07-12,157.72,2021-09-28,167.9,6.45
ALGN,2021-07-29,676.98,2021-09-28,677.32,0.05
TECH,2021-09-17,130.72,2021-09-28,119.59,-8.51
GOOGL,2021-07-23,131.85,2021-09-28,134.64,2.12
NVDA,2021-08-23,21.88,2021-09-28,20.63,-5.72
A,2021-06-17,141.88,2021-09-28,154.62,8.98
MRNA,2021-07-15,259.67,2021-09-28,384.21,47.96
KLAC,2021-09-15,35.03,2021-09-29,31.97,-8.72
IR,2021-09-02,53.49,2021-09-29,51.12,-4.42
AVGO,2021-09-15,46.48,2021-09-30,44.54,-4.17
ULTA,2021-08-25,389.9,2021-09-30,360.92,-7.43
HCA,2021-07-20,238.68,2021-09-30,233.19,-2.3
MPWR,2021-07-28,416.23,2021-10-04,448.66,7.79
WSM,2021-08-25,77.93,2021-10-04,77.64,-0.38
DXCM,2021-07-30,128.88,2021-10-08,132.27,2.64
IT,2021-07-02,253.69,2021-10-08,304.1,19.87
DRI,2021-09-23,136.41,2021-10-19,126.17,-7.5
IBM,2021-10-04,114.6,2021-10-21,102.05,-10.95
BKR,2021-10-15,24.06,2021-10-21,21.72,-9.74
NTAP,2021-08-26,77.12,2021-10-27,79.56,3.16
EBAY,2021-10-22,74.03,2021-10-28,66.52,-10.15
MOS,2021-10-11,37.28,2021-11-02,33.47,-10.21
AON,2021-07-27,250.51,2021-11-03,285.59,14.0
PWR,2021-09-02,113.16,2021-11-04,112.46,-0.61
RCL,2021-11-05,94.01,2021-11-10,86.31,-8.19
MGM,2021-10-12,48.67,2021-11-12,45.07,-7.39
LYV,2021-11-05,123.8,2021-11-12,112.32,-9.27
BKNG,2021-11-05,102.58,2021-11-15,94.2,-8.17
CINF,2021-10-28,112.69,2021-11-17,106.05,-5.89
AXP,2021-10-22,176.97,2021-11-19,164.16,-7.24
COP,2021-09-22,52.49,2021-11-19,59.04,12.48
APA,2021-11-04,25.23,2021-11-19,22.56,-10.59
WMB,2021-10-04,22.11,2021-11-19,22.17,0.29
MAR,2021-11-03,158.05,2021-11-19,148.82,-5.84
TGT,2021-11-15,227.94,2021-11-22,211.62,-7.16
BBY,2021-11-22,111.87,2021-11-23,98.1,-12.31
TYL,2021-10-28,536.86,2021-11-26,501.43,-6.6
URI,2021-10-29,365.59,2021-11-26,349.31,-4.45
CRM,2021-09-23,273.13,2021-11-26,279.38,2.29
TXT,2021-11-03,76.8,2021-11-26,72.37,-5.77
HLT,2021-10-27,145.26,2021-11-26,134.4,-7.48
DXCM,2021-10-29,155.8,2021-11-29,142.75,-8.38
STT,2021-10-18,81.85,2021-11-29,80.47,-1.69
REG,2021-08-31,56.14,2021-11-29,58.4,4.03
OKE,2021-09-23,44.37,2021-11-30,46.88,5.65
ARES,2021-10-26,72.72,2021-11-30,69.84,-3.95
TSN,2021-11-15,72.4,2021-11-30,68.35,-5.59
SCHW,2021-10-15,75.89,2021-11-30,72.76,-4.13
NTRS,2021-10-20,108.74,2021-11-30,100.24,-7.82
CF,2021-11-18,61.45,2021-11-30,55.1,-10.33
LLY,2021-11-04,259.35,2021-11-30,238.14,-8.18
NFLX,2021-09-07,60.67,2021-11-30,64.19,5.8
BAC,2021-10-14,40.08,2021-11-30,39.55,-1.33
ETN,2021-11-02,159.21,2021-11-30,150.99,-5.16
WAB,2021-11-08,94.57,2021-11-30,86.55,-8.48
SHOP,2021-11-12,166.95,2021-11-30,152.18,-8.85
IT,2021-11-02,339.69,2021-11-30,312.25,-8.08
SATS,2021-11-11,29.23,2021-12-01,26.67,-8.76
ICE,2021-10-07,118.74,2021-12-01,121.2,2.07
WSM,2021-11-03,93.41,2021-12-01,85.54,-8.43
PFG,2021-11-15,60.54,2021-12-01,57.74,-4.62
APO,2021-10-19,66.71,2021-12-01,64.83,-2.81
EQR,2021-10-28,73.62,2021-12-01,69.14,-6.08
JBHT,2021-10-15,182.28,2021-12-01,178.19,-2.24
AVB,2021-10-28,204.63,2021-12-01,196.84,-3.8
O,2021-10-25,56.2,2021-12-01,52.12,-7.27
RJF,2021-10-21,95.29,2021-12-01,88.9,-6.7
ESS,2021-10-27,289.73,2021-12-01,278.07,-4.02
SPG,2021-10-18,111.99,2021-12-01,114.47,2.21
DDOG,2021-08-13,135.49,2021-12-03,164.22,21.2
PANW,2021-08-24,73.64,2021-12-06,83.54,13.43
ALB,2021-11-04,257.36,2021-12-06,234.59,-8.85
DELL,2021-09-23,47.36,2021-12-13,50.7,7.06
KKR,2021-10-29,76.54,2021-12-13,69.68,-8.97
DVN,2021-09-15,24.09,2021-12-14,32.66,35.54
INTU,2021-11-19,671.33,2021-12-16,614.72,-8.43
NVDA,2021-10-26,24.64,2021-12-17,27.71,12.49
MSFT,2021-10-27,310.74,2021-12-17,311.91,0.38
AMD,2021-11-04,137.5,2021-12-20,135.8,-1.24
KLAC,2021-11-04,39.01,2021-12-20,36.86,-5.52
ZBRA,2021-11-04,597.41,2021-12-20,570.78,-4.46
ORCL,2021-12-10,96.61,2021-12-20,86.26,-10.71
RSG,2021-10-29,127.24,2021-12-21,126.09,-0.91
SPGI,2021-10-26,446.36,2022-01-03,443.72,-0.59
MRSH,2021-10-15,151.21,2022-01-03,156.09,3.23
LH,2021-12-15,250.76,2022-01-04,236.93,-5.52
CDNS,2021-10-26,172.93,2022-01-04,178.3,3.11
ZTS,2021-10-29,206.06,2022-01-04,214.56,4.13
TMO,2021-09-17,588.79,2022-01-04,609.95,3.59
ROK,2021-11-02,316.84,2022-01-05,312.32,-1.43
AJG,2021-09-15,143.01,2022-01-05,156.9,9.71
POOL,2021-11-11,519.06,2022-01-05,496.07,-4.43
KEYS,2021-11-24,199.66,2022-01-05,192.16,-3.76
FDS,2021-09-29,375.21,2022-01-05,429.98,14.6
SBAC,2021-12-17,348.62,2022-01-05,325.33,-6.68
IQV,2021-11-16,267.54,2022-01-05,261.61,-2.22
VRSK,2021-11-19,222.69,2022-01-05,207.73,-6.72
SHW,2021-10-26,302.7,2022-01-06,320.03,5.72
IRM,2021-12-15,41.82,2022-01-06,39.49,-5.57
CNC,2021-12-10,78.45,2022-01-06,76.34,-2.69
LLY,2021-12-15,264.3,2022-01-06,248.98,-5.79
MSI,2021-11-24,247.02,2022-01-07,239.47,-3.05
FAST,2021-12-06,27.77,2022-01-07,27.16,-2.21
PLD,2021-12-16,142.58,2022-01-07,134.26,-5.83
NVR,2021-12-01,5404.56,2022-01-07,5438.88,0.64
ANET,2021-10-26,25.22,2022-01-07,32.37,28.33
MCHP,2021-11-05,77.36,2022-01-07,74.11,-4.2
HD,2021-11-16,348.18,2022-01-07,350.76,0.74
ACN,2021-12-16,374.31,2022-01-07,346.42,-7.45
MLM,2021-11-02,395.81,2022-01-10,404.91,2.3
LOW,2021-11-16,224.37,2022-01-10,227.04,1.19
VMC,2021-11-08,198.1,2022-01-10,192.99,-2.58
COST,2021-11-29,527.53,2022-01-10,493.23,-6.5
NUE,2022-01-05,115.16,2022-01-10,104.97,-8.85
WAB,2022-01-04,95.25,2022-01-11,90.09,-5.42
ABT,2021-12-17,125.78,2022-01-13,119.35,-5.11
EXR,2021-10-29,162.74,2022-01-13,171.37,5.3
MRVL,2021-10-07,64.03,2022-01-13,77.35,20.81
AVGO,2021-12-07,54.23,2022-01-13,55.2,1.8
PAYX,2021-12-22,116.05,2022-01-14,108.73,-6.3
ON,2021-11-01,54.99,2022-01-18,63.03,14.62
AMAT,2022-01-14,160.66,2022-01-18,146.58,-8.77
PFE,2021-11-05,38.3,2022-01-18,42.63,11.31
BLDR,2021-11-04,65.4,2022-01-19,72.63,11.06
CIEN,2021-12-07,62.97,2022-01-19,68.21,8.32
MAA,2021-12-07,181.2,2022-01-19,177.16,-2.23
AAPL,2021-11-18,154.34,2022-01-19,162.51,5.3
AZO,2021-09-22,1683.76,2022-01-19,1945.89,15.57
STT,2022-01-07,88.33,2022-01-19,81.57,-7.65
UDR,2021-12-07,49.13,2022-01-19,48.16,-1.98
SMCI,2021-11-03,4.19,2022-01-19,4.22,0.67
NTRS,2022-01-07,113.0,2022-01-20,104.6,-7.43
JBL,2021-12-21,66.1,2022-01-20,64.6,-2.27
DELL,2022-01-10,54.49,2022-01-21,50.56,-7.2
F,2021-10-07,11.04,2022-01-21,15.38,39.38
BXP,2022-01-04,98.23,2022-01-21,90.71,-7.66
