ticker,entry_date,entry,exit_date,exit,ret_pct
FANG,2021-06-25,77.91,2021-07-19,59.21,-24.01
PTC,2021-07-23,152.69,2021-07-29,133.03,-12.88
AMZN,2021-07-06,183.79,2021-08-11,164.61,-10.44
HLT,2021-07-29,132.71,2021-08-16,119.87,-9.67
DRI,2021-07-06,126.38,2021-08-17,117.31,-7.18
PANW,2021-07-06,65.32,2021-08-18,60.39,-7.54
HAS,2021-07-26,84.87,2021-08-19,78.08,-8.0
VTR,2021-07-12,50.59,2021-08-19,46.43,-8.21
V,2021-07-15,239.43,2021-09-02,216.25,-9.68
BBY,2021-08-24,96.58,2021-09-03,90.65,-6.15
MSTR,2021-08-09,76.77,2021-09-07,64.8,-15.59
HUBB,2021-07-30,185.39,2021-09-16,174.8,-5.71
TDY,2021-07-28,456.07,2021-09-17,423.15,-7.22
WTW,2021-09-09,221.5,2021-09-17,216.13,-2.42
PKG,2021-09-01,132.84,2021-09-20,121.37,-8.64
SBUX,2021-07-23,112.1,2021-09-20,99.89,-10.89
MNST,2021-08-06,48.49,2021-09-20,46.4,-4.31
CRH,2021-08-26,46.88,2021-09-20,43.21,-7.82
BG,2021-09-15,71.39,2021-09-20,67.86,-4.94
SRE,2021-09-15,58.46,2021-09-20,56.01,-4.19
FOXA,2021-09-17,35.59,2021-09-20,35.04,-1.54
STLD,2021-08-10,63.48,2021-09-21,53.68,-15.43
FITB,2021-09-15,33.63,2021-09-21,31.93,-5.07
PYPL,2021-06-18,280.95,2021-09-21,267.18,-4.9
ETR,2021-08-16,46.57,2021-09-23,43.33,-6.96
NKE,2021-06-25,142.1,2021-09-28,133.98,-5.71
SW,2021-08-13,49.4,2021-09-28,43.22,-12.5
AMCR,2021-08-20,51.59,2021-09-28,47.64,-7.66
XYZ,2021-08-02,272.38,2021-09-29,236.04,-13.34
CCL,2021-09-27,26.1,2021-09-29,25.25,-3.26
PPL,2021-09-01,25.12,2021-09-30,23.64,-5.91
WY,2021-09-23,30.37,2021-09-30,28.99,-4.54
ALLE,2021-08-31,134.6,2021-09-30,123.88,-7.96
DECK,2021-06-25,63.44,2021-09-30,60.03,-5.37
BLK,2021-07-12,811.92,2021-09-30,746.68,-8.04
DVA,2021-08-04,133.78,2021-09-30,116.26,-13.1
TJX,2021-08-18,68.12,2021-09-30,61.57,-9.62
TEL,2021-07-28,131.4,2021-09-30,127.46,-2.99
TGT,2021-06-25,206.72,2021-10-04,194.79,-5.77
MDT,2021-08-24,114.37,2021-10-04,108.41,-5.21
META,2021-06-28,352.54,2021-10-04,323.39,-8.27
TRMB,2021-08-05,89.42,2021-10-04,81.37,-9.0
CVNA,2021-06-22,62.62,2021-10-04,58.81,-6.08
BSX,2021-07-27,45.51,2021-10-04,42.41,-6.81
SHOP,2021-06-18,146.69,2021-10-04,131.49,-10.36
ALL,2021-08-23,121.79,2021-10-04,112.95,-7.26
REGN,2021-08-05,597.53,2021-10-05,546.39,-8.56
WSM,2021-08-25,77.93,2021-10-06,76.16,-2.27
CDW,2021-08-04,176.24,2021-10-06,164.68,-6.56
AMT,2021-08-31,249.9,2021-10-08,225.21,-9.88
AVY,2021-08-25,205.03,2021-10-08,189.88,-7.39
LH,2021-07-29,240.56,2021-10-11,223.87,-6.94
XYL,2021-08-03,120.45,2021-10-11,112.08,-6.95
COO,2021-08-12,109.99,2021-10-11,100.97,-8.21
KLAC,2021-07-30,33.1,2021-10-12,30.47,-7.92
IR,2021-09-02,53.49,2021-10-12,49.61,-7.25
TXN,2021-07-21,168.51,2021-10-13,163.22,-3.14
ALGN,2021-07-29,676.98,2021-10-13,596.22,-11.93
KR,2021-07-19,36.92,2021-10-14,35.34,-4.28
DPZ,2021-07-22,502.48,2021-10-15,425.01,-15.42
KDP,2021-10-13,31.9,2021-10-18,30.88,-3.2
IBM,2021-10-04,114.6,2021-10-21,102.05,-10.95
SYY,2021-10-08,73.93,2021-10-25,69.23,-6.36
HII,2021-10-11,190.14,2021-10-26,184.3,-3.07
GRMN,2021-07-28,140.23,2021-10-27,131.87,-5.96
ALNY,2021-06-18,176.89,2021-10-28,162.14,-8.34
LHX,2021-09-02,212.98,2021-11-01,201.31,-5.48
